Name,mass,radius,orbital_period,semi_major_axis,eccentricity,inclination,star_distance,star_mass,star_radius,star_teff,M-dwarf,
K2-60 b,0.426,0.683,3.00265,0.045,0,88.49,498.7,0.97,1.12,5500,0,
K2-66 b,0.06702,0.222,5.06963,0.05983,0,86.6,520.43,1.11,1.67,5887,0,
K2-95 b,1.67,0.346,10.134016,0.0696,0.16,89.25,180.63,0.44,0.42,3548,1,
K2-99 b,0.87,1.046,18.24783,0.153,0.22,87.7,522.29,1.63,2.63,6217,0,
kappa And b,13,1.2,215000,100,0.69,121,50,2.8,2.29,11361,0,
KELT-1 b,27.23,1.15,1.217514,0.02472,0.01,87.6,263,1.335,1.471,6516,0,
KELT-11 b,0.195,1.3,4.736529,0.06229,0,85.8,98,1.438,2.72,5370,0,
KELT-12 b,0.95,1.79,5.0316144,0.0617,0,84.45,360,1.239,1.291,6330,0,
KELT-18 b,1.18,1.57,2.8717518,0.0455,0,88.86,311,1.524,1.908,6670,0,
KELT-3 b,1.418,1.333,2.7033902,0.04117,0,84.6,178,1.282,1.482,6304,0,
KELT-4 A b,0.884,1.706,2.9895933,0.04321,0.03,83.11,211,1.204,1.61,6207,0,
KELT-8 b,0.874,1.86,3.24406,0.04571,0.035,82.65,236,1.211,1.67,5754,0,
Kepler-10 b,0.0145,0.132,0.837491,0.0172,0.06,85.1,186.5,0.91,1.06,5708,0,
Kepler-10 c,0.02319,0.2097,45.2946,0.241,0.05,89.59,186.5,0.91,1.06,5708,0,
Kepler-101 b,0.16,0.51,3.4876812,0.0474,0.086,85.82,953.44,1.17,1.56,5667,0,
Kepler-101 c,0.01,0.112,6.02976,0.0684,0,84.6,953.44,1.17,1.56,5667,0,
Kepler-102 e,0.028,0.198,16.1457,0.117,0,89.56,108.13,0.81,0.76,4909,0,
Kepler-103 b,0.031,0.301,15.9654,0.133,0.17,87.914,501.93,1.09,1.44,5845,0,
Kepler-103 c,0.114,0.459,179.612,0.6679,0.1,89.704,501.93,1.09,1.44,5845,0,
Kepler-105 b,0.016,0.429,5.4122,0.066,0.47,85.94,465.33,0.96,0.89,5827,0,
Kepler-107 b,0.01104,0.137,3.1800218,0.04544,0,89.05,525.5,1.24,1.45,5854,0,
Kepler-107 c,0.02954,0.142,4.901452,0.06064,0,89.49,525.5,1.24,1.45,5854,0,
Kepler-107 d,0.01196,0.077,7.95839,0.08377,0,87.55,525.5,1.24,1.45,5854,0,
Kepler-107 e,0.02706,0.259,14.749143,0.12639,0,89.67,525.5,1.24,1.45,5854,0,
Kepler-11 b,0.006,0.161,10.3039,0.091,0.045,89.64,658.59,0.96,1.06,5663,0,
Kepler-11 c,0.009,0.256,13.0241,0.107,0.026,89.59,658.59,0.96,1.06,5663,0,
Kepler-11 d,0.023,0.278,22.6845,0.155,0.004,89.67,658.59,0.96,1.06,5663,0,
Kepler-11 e,0.025,0.374,31.9996,0.195,0.012,88.89,658.59,0.96,1.06,5663,0,
Kepler-11 f,0.006,0.222,46.6888,0.25,0.013,89.47,658.59,0.96,1.06,5663,0,
Kepler-11 g,0.079,0.297,118.3807,0.466,0.15,89.87,658.59,0.96,1.06,5663,0,
Kepler-117 b,0.094,0.719,18.7959228,0.1445,0.0493,88.74,1430,1.13,1.61,6150,0,
Kepler-117 c,1.84,1.101,50.790391,0.2804,0.0323,89.64,1430,1.13,1.61,6150,0,
Kepler-12 b,0.432,1.754,4.4379629,0.0553,0.01,88.796,904.4,1.17,1.48,5947,0,
Kepler-138 b,0.00021,0.047,10.3126,0.0746,0,89.95,66.99,0.52,0.44,3841,0,
Kepler-15 b,0.66,0.96,4.942782,0.05714,0.06,87.44,755.38,1.02,0.99,5515,0,
Kepler-1514 b,5.28,1.108,217.83184,0.753,0.401,89.944,389.3,1.2,1.29,6145,0,
Kepler-1654 b,0.5,0.819,1047.8356,2.026,0.26,89.982,577.6,1.01,1.18,5597,0,
Kepler-1655 b,0.01573,0.197,11.8728787,0.103,0,87.62,214.58,1.03,1.03,6148,0,
Kepler-1656 b,0.1504,0.448,31.562,0.1974,0.838,89.31,186.88,1.03,1.1,5731,0,
Kepler-1658 b,5.88,1.07,3.84937278,0.0544,0.0628,76.52,806.07,1.45,2.89,6216,0,
Kepler-167 d,0.006,0.107,21.803855,0.1405,0.12,89.352,330,0.77,0.73,4890,0,
Kepler-167 e,4,0.906,1071.23228,1.89,0.062,89.976,330,0.77,0.73,4890,0,
Kepler-17 b,2.45,1.31,1.4857108,0.02591,0.011,87.2,800,1.16,1.05,5781,0,
Kepler-18 b,0.022,0.178,3.504725,0.0447,0,84.92,438.51,0.97,1.11,5345,0,
Kepler-18 c,0.054,0.49,7.64159,0.0752,0,87.68,438.51,0.97,1.11,5345,0,
Kepler-18 d,0.052,0.623,14.85888,0.1172,0,88.07,438.51,0.97,1.11,5345,0,
Kepler-19 b,0.02643,0.198,9.28716,0.085,0.12,89.94,219.95,0.94,0.86,5544,0,
Kepler-20 b,0.03052,0.167,3.69611525,0.0463,0.03,87.355,284.88,0.95,0.96,5495,0,
Kepler-20 c,0.04012,0.272,10.85409089,0.0949,0.16,89.815,284.88,0.95,0.96,5495,0,
Kepler-20 d,0.03168,0.245,77.61130017,0.3506,0.6,89.708,284.88,0.95,0.96,5495,0,
Kepler-21 b,0.01598,0.146,2.78578,0.042717,0.02,83.2,108.86,1.41,1.9,6305,0,
Kepler-22 b,0.113,0.212,289.8623,0.849,0,89.764,190,0.97,0.98,5518,0,
Kepler-223 b,0.02328,0.267,7.38449,0.073,0.078,90,1960.49,1.12,1.72,5829,0,
Kepler-223 c,0.01605,0.307,9.84564,0.088,0.15,90,1960.49,1.12,1.72,5829,0,
Kepler-223 d,0.02517,0.467,14.78869,0.116,0.037,87.94,1960.49,1.12,1.72,5829,0,
Kepler-223 e,0.0151,0.41,19.72567,0.14,0.051,88,1960.49,1.12,1.72,5829,0,
Kepler-25 b,0.0275,0.245,6.238297,0.068,0.0029,92.827,244.96,1.19,1.31,6270,0,
Kepler-25 c,0.0479,0.465,12.7207,0.11,0.0061,92.764,244.96,1.19,1.31,6270,0,
Kepler-289 b,0.023,0.192,34.545,0.21,0.024,89.59,700,1.08,1,5990,0,
Kepler-289 c,0.42,1.034,125.8518,0.51,0.0115,89.794,700,1.08,1,5990,0,
Kepler-289 d,0.013,0.239,66.0634,0.33,0.0033,89.73,700,1.08,1,5990,0,
Kepler-29 b,0.01573,0.227,10.33974,0.09,0,89.13,851.9,0.76,0.73,5378,0,
Kepler-30 b,0.036,0.348,29.33434,0.18,0.042,90.179,938.33,0.99,0.95,5498,0,
Kepler-30 c,2.01,1.097,60.323105,0.3,0.0111,90.323,938.33,0.99,0.95,5498,0,
Kepler-30 d,0.073,0.785,143.34394,0.5,0.022,89.841,938.33,0.99,0.95,5498,0,
Kepler-34 (AB) b,0.22,0.7637,288.822,1.0896,0.182,90.355,1499,2.0687,1.1,5913,0,
Kepler-35 (AB) b,0.1268,0.728,131.458,0.60347,0.042,90.76,1645,1.6971,1,5606,0,
Kepler-36 c,0.02243,0.328,16.21865,0.1283,0,89.36,470,1.03,1.63,5979,0,
Kepler-37 b,0.01,0.026,13.36731,0.1003,0,88.63,64.04,0.87,0.79,5417,0,
Kepler-37 d,0.017,0.173,39.7922,0.2109,0.142,89.335,64.04,0.87,0.79,5417,0,
Kepler-39 b,20.1,1.24,21.08721,0.164,0.112,89.07,1090.44,1.29,1.4,6350,0,
Kepler-391 c,1.416,0.316,20.485435,0.161,0.27,87.27,891.53,1.22,3.57,4940,0,
Kepler-4 b,0.077,0.357,3.21346,0.0456,0,89.76,550,1.22,1.49,5857,0,
Kepler-40 b,2.2,1.17,6.87349,0.08,0,89.7,2700,1.48,2.13,6510,0,
Kepler-41 b,0.56,1.29,1.8555582,0.03101,0,82.51,1128.11,1.15,1.29,5750,0,
Kepler-411 b,0.08055,0.214,3.005156,0.0375,0.146,87.4,153.59,0.87,0.82,4974,0,
Kepler-411 c,0.08306,0.394,7.834435,0.0739,0.108,88.61,153.59,0.87,0.82,4974,0,
Kepler-411 d,0.04782,0.296,58.02035,0.279,0.128,89.43,153.59,0.87,0.82,4974,0,
Kepler-412 b,0.941,1.341,1.7208604,0.02897,0.0038,80.559,1121.32,1.17,1.29,5750,0,
Kepler-419 b,2.5,0.96,69.7546,0.37,0.833,88.95,1041.31,1.39,1.74,6430,0,
Kepler-423 b,0.595,1.192,2.6843285,0.03585,0.019,87.828,725,0.85,0.95,5560,0,
Kepler-425 b,0.25,0.978,3.79701816,0.0464,0.33,87.02,650,0.93,0.86,5170,0,
Kepler-426 b,0.34,1.09,3.21751883,0.0414,0.18,85.74,880,0.91,0.92,5725,0,
Kepler-427 b,0.29,1.23,10.290994,0.091,0.57,89.5,1100,0.96,1.35,5800,0,
Kepler-428 b,1.27,1.08,3.52563254,0.0433,0.22,89.36,720,0.87,0.8,5150,0,
Kepler-43 b,3.23,1.219,3.0240949,0.046,0.025,84.646,1035.9,1.32,1.42,6041,0,
Kepler-432 b,5.41,1.145,52.501129,0.301,0.5134,88.17,870,1.32,4.06,4995,0,
Kepler-433 b,2.82,1.45,5.33408384,0.0679,0.119,89.21,1870,1.46,2.26,6360,0,
Kepler-434 b,2.86,1.13,12.8747099,0.1143,0.131,86.46,1240,1.2,1.38,5977,0,
Kepler-435 b,0.84,1.99,8.6001536,0.0948,0.114,85.51,2070,1.54,3.21,6161,0,
Kepler-44 b,1,1.09,3.2467293,0.0446,0.066,84.96,1229.15,1.12,1.35,5800,0,
Kepler-447 b,1.37,1.65,7.79430132,0.0769,0.123,86.55,270.12,1,1.05,5493,0,
Kepler-45 b,0.505,0.96,2.455239,0.03,0.11,87,333,0.59,0.55,3820,0,
Kepler-454 b,0.01905,0.21,10.57,0.0954,0,87.09,232.41,0.85,1.05,5701,0,
Kepler-46 b,6,0.808,33.60134,0.1968,0.01,89.038,794.54,0.902,0.79,5309,0,
Kepler-492 b,39.9,0.856,11.72012266,0.0987,0.031,88.456,642,0.94,0.91,5527,0,
Kepler-5 b,2.111,1.426,3.5484657,0.0538,0,89.14,923.41,1.37,1.79,6297,0,
Kepler-538 b,0.03335,0.198,81.73778,0.4669,0.041,89.73,156.66,0.89,0.87,5547,0,
Kepler-539 b,0.97,0.747,125.63243,0.4988,0.39,89.845,310.01,1.05,0.95,5820,0,
Kepler-56 b,0.07,0.581,10.5016,0.1028,0.04,83.84,936.96,1.32,4.23,4840,0,
Kepler-56 c,0.57,0.874,21.40239,0.1652,0,84.02,936.96,1.32,4.23,4840,0,
Kepler-59 b,2.05,0.098,11.8681707,0.112,0.09,88.4,1203.57,1.04,0.94,6074,0,
Kepler-59 c,1.37,0.177,17.9801235,0.148,0.09,88.8,1203.57,1.04,0.94,6074,0,
Kepler-6 b,0.668,1.304,3.2346996,0.04852,0,88.93,597.14,1.21,1.39,5647,0,
